,grupo_linha,faixa,faixa_15,stop_name,ordem,boardings,alightings,cum_board,cum_alight,carga_abordo,data,qtd_partidas
0,b1_b2_b3_volta,5,05:00–05:15,pt_bimba,1,9.0,0.0,9.0,0.0,9.0,2025-10-06,1.0
1,b1_b2_b3_volta,5,05:00–05:15,qua_ama,2,1.0,0.0,10.0,0.0,10.0,2025-10-06,1.0
2,b1_b2_b3_volta,5,05:00–05:15,pra_joao,3,7.0,0.0,17.0,0.0,17.0,2025-10-06,1.0
3,b1_b2_b3_volta,5,05:00–05:15,pt_largo,4,5.0,0.0,22.0,0.0,22.0,2025-10-06,1.0
4,b1_b2_b3_volta,5,05:00–05:15,pt_para,5,4.0,0.0,26.0,0.0,26.0,2025-10-06,1.0
5,b1_b2_b3_volta,5,05:00–05:15,pra_nos,7,3.0,0.0,29.0,0.0,29.0,2025-10-06,1.0
6,b1_b2_b3_volta,5,05:00–05:15,est_pit,8,9.8,1.0,38.8,1.0,37.8,2025-10-06,1.0
7,b1_b2_b3_volta,5,05:00–05:15,est_prq,10,8.0,0.0,46.8,1.0,45.8,2025-10-06,1.0
8,b1_b2_b3_volta,5,05:00–05:15,est_cid,11,7.77777777777778,0.0,54.5777777777778,1.0,53.5777777777778,2025-10-06,
9,b1_b2_b3_volta,5,05:00–05:15,est_hip,12,9.76595744680851,13.2666666666667,64.3437352245863,14.2666666666667,50.0770685579196,2025-10-06,
10,b1_b2_b3_volta,5,05:00–05:15,est_rod,13,0.0,50.0770685579196,64.3437352245863,64.3437352245863,-1.4210854715202e-14,2025-10-06,
11,b1_b2_b3_volta,5,05:15–05:30,pt_bimba,1,17.0,0.0,17.0,0.0,17.0,2025-10-06,1.0
12,b1_b2_b3_volta,5,05:15–05:30,qua_ama,2,2.0,0.0,19.0,0.0,19.0,2025-10-06,1.0
13,b1_b2_b3_volta,5,05:15–05:30,pra_joao,3,6.0,0.0,25.0,0.0,25.0,2025-10-06,1.0
14,b1_b2_b3_volta,5,05:15–05:30,pt_largo,4,7.0,0.0,32.0,0.0,32.0,2025-10-06,1.0
15,b1_b2_b3_volta,5,05:15–05:30,pt_para,5,6.0,1.42857142857143,38.0,1.42857142857143,36.5714285714286,2025-10-06,1.0
16,b1_b2_b3_volta,5,05:15–05:30,est_pit,8,3.66666666666667,1.42857142857143,41.6666666666667,2.85714285714286,38.8095238095238,2025-10-06,2.0
17,b1_b2_b3_volta,5,05:15–05:30,est_ita,9,2.0,0.0,43.6666666666667,2.85714285714286,40.8095238095238,2025-10-06,2.0
18,b1_b2_b3_volta,5,05:15–05:30,est_prq,10,22.7857142857143,0.0,66.4523809523809,2.85714285714286,63.5952380952381,2025-10-06,1.0
19,b1_b2_b3_volta,5,05:15–05:30,est_cid,11,9.69230769230769,0.0,76.1446886446886,2.85714285714286,73.2875457875458,2025-10-06,2.0
20,b1_b2_b3_volta,5,05:15–05:30,est_hip,12,22.7769230769231,13.2531135531136,98.9216117216117,16.1102564102564,82.8113553113553,2025-10-06,2.0
21,b1_b2_b3_volta,5,05:15–05:30,est_rod,13,0.0,82.8113553113553,98.9216117216117,98.9216117216117,0.0,2025-10-06,2.0
22,b1_b2_b3_volta,5,05:30–05:45,pt_bimba,1,10.0,0.0,10.0,0.0,10.0,2025-10-06,1.0
23,b1_b2_b3_volta,5,05:30–05:45,qua_ama,2,8.0,0.0,18.0,0.0,18.0,2025-10-06,1.0
24,b1_b2_b3_volta,5,05:30–05:45,pra_joao,3,5.0,2.5,23.0,2.5,20.5,2025-10-06,1.0
25,b1_b2_b3_volta,5,05:30–05:45,pt_para,5,7.0,7.36666666666667,30.0,9.86666666666667,20.1333333333333,2025-10-06,1.0
26,b1_b2_b3_volta,5,05:30–05:45,pra_nos,7,1.0,0.0,31.0,9.86666666666667,21.1333333333333,2025-10-06,2.0
27,b1_b2_b3_volta,5,05:30–05:45,est_pit,8,17.6,0.0,48.6,9.86666666666667,38.7333333333333,2025-10-06,2.0
28,b1_b2_b3_volta,5,05:30–05:45,est_ita,9,5.0,0.0,53.6,9.86666666666667,43.7333333333333,2025-10-06,2.0
29,b1_b2_b3_volta,5,05:30–05:45,est_prq,10,24.6521739130435,0.0,78.2521739130435,9.86666666666667,68.3855072463768,2025-10-06,3.0
30,b1_b2_b3_volta,5,05:30–05:45,est_cid,11,12.2941176470588,1.33333333333333,90.5462915601023,11.2,79.3462915601023,2025-10-06,3.0
31,b1_b2_b3_volta,5,05:30–05:45,est_hip,12,11.9837398373984,28.9389599317988,102.530031397501,40.1389599317988,62.3910714657019,2025-10-06,2.0
32,b1_b2_b3_volta,5,05:30–05:45,est_rod,13,0.0,62.3910714657019,102.530031397501,102.530031397501,0.0,2025-10-06,2.0
