grupo_linha,faixa,faixa_15,estacao_pico,carga_maxima,data,qtd_partidas
b1_b2_b3_volta,5,05:00–05:15,est_cid,53.5777777777778,2025-10-06,
b1_b2_b3_volta,5,05:15–05:30,est_hip,82.8113553113553,2025-10-06,2.0
b1_b2_b3_volta,5,05:30–05:45,est_cid,79.3462915601023,2025-10-06,3.0
b1_b2_b3_volta,5,05:45–06:00,est_hip,133.343140801693,2025-10-06,3.0
b1_b2_b3_volta,6,06:00–06:15,est_cid,172.193701035806,2025-10-06,3.0
b1_b2_b3_volta,6,06:15–06:30,est_hip,188.949789426616,2025-10-06,5.0
b1_b2_b3_volta,6,06:30–06:45,est_hip,257.654966971079,2025-10-06,5.0
b1_b2_b3_volta,6,06:45–07:00,est_cid,224.951270163238,2025-10-06,6.0
b1_b2_b3_volta,7,07:00–07:15,est_cid,352.97280087687,2025-10-06,9.0
b1_b2_b3_volta,7,07:15–07:30,est_cid,322.266422822367,2025-10-06,6.0
b1_b2_b3_volta,7,07:30–07:45,est_cid,286.348945498946,2025-10-06,12.0
b1_b2_b3_volta,7,07:45–08:00,est_cid,240.252114322875,2025-10-06,12.0
b1_b2_b3_volta,8,08:00–08:15,est_cid,241.447442753325,2025-10-06,13.0
b1_b2_b3_volta,8,08:15–08:30,est_cid,225.04373433584,2025-10-06,8.0
b1_b2_b3_volta,8,08:30–08:45,est_cid,230.893050108932,2025-10-06,13.0
b1_b2_b3_volta,8,08:45–09:00,est_cid,191.716170243052,2025-10-06,10.0
b1_b2_b3_volta,9,09:00–09:30,est_cid,376.622727016307,2025-10-06,22.0
b1_b2_b3_volta,9,09:30–10:00,est_cid,375.959687704992,2025-10-06,15.0
b1_b2_b3_volta,10,10:00–10:30,est_cid,401.815851832276,2025-10-06,8.0
b1_b2_b3_volta,10,10:30–11:00,est_cid,517.65353583706,2025-10-06,8.0
b1_b2_b3_volta,11,11:00–11:30,est_cid,575.732759930128,2025-10-06,8.0
b1_b2_b3_volta,11,11:30–12:00,est_cid,500.09201643233,2025-10-06,11.0
b1_b2_b3_volta,12,12:00–12:30,est_cid,596.908181790236,2025-10-06,10.0
b1_b2_b3_volta,12,12:30–13:00,est_cid,550.253007398978,2025-10-06,14.0
b1_b2_b3_volta,13,13:00–13:30,est_cid,528.231618322002,2025-10-06,9.0
b1_b2_b3_volta,13,13:30–14:00,est_cid,450.806823210771,2025-10-06,12.0
b1_b2_b3_volta,14,14:00–14:30,est_cid,662.327408696814,2025-10-06,10.0
b1_b2_b3_volta,14,14:30–15:00,est_cid,708.189275362319,2025-10-06,8.0
b1_b2_b3_volta,15,15:00–15:30,est_cid,1026.39805879194,2025-10-06,12.0
b1_b2_b3_volta,15,15:30–16:00,est_cid,1119.49105478326,2025-10-06,15.0
b1_b2_b3_volta,16,16:00–16:15,est_cid,765.889737127625,2025-10-06,9.0
b1_b2_b3_volta,16,16:15–16:30,est_cid,812.577167238687,2025-10-06,12.0
b1_b2_b3_volta,16,16:30–16:45,est_cid,765.078704409626,2025-10-06,12.0
b1_b2_b3_volta,16,16:45–17:00,est_cid,829.937736998503,2025-10-06,13.0
b1_b2_b3_volta,17,17:00–17:15,est_cid,1445.76153188416,2025-10-06,11.0
b1_b2_b3_volta,17,17:15–17:30,est_cid,1159.47693742774,2025-10-06,15.0
b1_b2_b3_volta,17,17:30–17:45,est_cid,978.402254093923,2025-10-06,16.0
b1_b2_b3_volta,17,17:45–18:00,est_cid,798.297856662551,2025-10-06,14.0
b1_b2_b3_volta,18,18:00–18:15,est_cid,1276.79975340421,2025-10-06,14.0
b1_b2_b3_volta,18,18:15–18:30,est_cid,822.364170463748,2025-10-06,14.0
b1_b2_b3_volta,18,18:30–18:45,est_cid,540.777431273702,2025-10-06,9.0
b1_b2_b3_volta,18,18:45–19:00,est_cid,431.747637034603,2025-10-06,13.0
b1_b2_b3_volta,19,19:00–19:15,est_cid,528.549043715847,2025-10-06,7.0
b1_b2_b3_volta,19,19:15–19:30,est_cid,335.009765122265,2025-10-06,10.0
b1_b2_b3_volta,19,19:30–19:45,est_cid,166.719379844961,2025-10-06,5.0
b1_b2_b3_volta,19,19:45–20:00,est_cid,139.613328495404,2025-10-06,4.0
b1_b2_b3_volta,20,20:00–20:30,est_cid,318.907415597818,2025-10-06,4.0
b1_b2_b3_volta,20,20:30–21:00,est_cid,138.815893665158,2025-10-06,4.0
b1_b2_b3_volta,21,21:00–21:30,est_cid,188.900876592322,2025-10-06,4.0
b1_b2_b3_volta,21,21:30–22:00,est_cid,106.427213868003,2025-10-06,3.0
b1_b2_b3_volta,22,22:00–22:30,est_cid,108.551820728291,2025-10-06,3.0
b1_b2_b3_volta,22,22:30–23:00,est_cid,34.2727272727273,2025-10-06,3.0
b1_b2_b3_volta,23,23:00–23:30,est_prq,19.0,2025-10-06,3.0
b1_b2_b3_volta,23,23:30–00:00,pra_nos,2.0,2025-10-06,1.0
